 Майнинг Ферма(Риг) Любые решения,70 000 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_fermarig_lyubye_resheniya_1068236057
 Видеокарта asus turbo GTX 1070 8G,29 990 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_turbo_gtx_1070_8g_1564988036
" Gigabyte RX580 8GB, (RX 580)",21 500 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_rx580_8gb_rx_580_1647254861?slocation=653240
 Фермы для майнинга разных конфигураций,70 000 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/fermy_dlya_mayninga_raznyh_konfiguratsiy_1037161492?slocation=653240
 Palit Nvidia GTX1060 6144Mb,13 000 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/palit_nvidia_gtx1060_6144mb_1226899221
" Райзер ver 007, 008s, переходники, синхронизаторы",200 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/rayzer_ver_007_008s_perehodniki_sinhronizatory_1052555344?slocation=653240
 Ферма майнинг на 4 видеокарты 1060,81 000 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/ferma_mayning_na_4_videokarty_1060_1364769562?slocation=653240
 MSI Geforce gtx 1050 ti Gaming x 4g,9 000 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/msi_geforce_gtx_1050_ti_gaming_x_4g_1381436750?slocation=653240
 Nvidia GeForce GTX 750 Ti 2Gb,6 000 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/nvidia_geforce_gtx_750_ti_2gb_1569029015
 Sparkle GeForce 9600 GT,700 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/sparkle_geforce_9600_gt_1421629678
 Видеокарта Palit GTX 1070 Ti Super JetStream новая,37 850 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_palit_gtx_1070_ti_super_jetstream_novaya_1565903590?slocation=653240
 Radeon RX560 2Gb,8 500 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/radeon_rx560_2gb_943936436
 Nvidia GeForce GTX 660 2Gb 192Bit Gigabyte,3 900 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/nvidia_geforce_gtx_660_2gb_192bit_gigabyte_1005925415
 Видеокарты,20 000 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarty_1187956422
 Видеокарта 1050ti,5 500 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_1050ti_1045174340
 Palit GeForce GT 640 900Mhz PCI-E 3.0 2048Mb,3 000 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/palit_geforce_gt_640_900mhz_pci-e_3.0_2048mb_1593392585
 Zotac GeForce 210 589Mhz PCI-E 2.0 512Mb 800Mhz,850 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/zotac_geforce_210_589mhz_pci-e_2.0_512mb_800mhz_1305884373
 Райзер,300 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/rayzer_1013798073
 Gigabyte GTX 1060 9Gbps aorus Xtreme,26 000 р.,06_03_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_gtx_1060_9gbps_aorus_xtreme_1453614380
