" Видеокарта pcie16 RX 570, RX 580",19 300 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_pcie16_rx_570_rx_580_1344556942
" Gigabyte RX580 8GB, (RX 580)",20 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_rx580_8gb_rx_580_1647254861?slocation=653240
 AMD rx 470 4gb,14 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/amd_rx_470_4gb_1540819429
 Ферма Риг Msi 1060 aero 3GB SAMSUNG,145 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/ferma_rig_msi_1060_aero_3gb_samsung_1313538638?slocation=653240
" Переходники для видеокарт,райзеры,все для майнинга",200 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/perehodniki_dlya_videokartrayzeryvse_dlya_mayninga_804708968
 Asus GeForce gtx 1070,26 500 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_geforce_gtx_1070_1076412984
 Gigabyte Geforce gtx 1080 8gb,38 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_geforce_gtx_1080_8gb_1064540137
" Райзер для фермы (синхронизатор, эмулятор)",170 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/rayzer_dlya_fermy_sinhronizator_emulyator_1188343705?slocation=653240
 Riser райзер ver.007,499 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/riser_rayzer_ver.007_1068171606
 Видеокарта MSI 980Ti 6 gb,20 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_msi_980ti_6_gb_1548072633
 Asus 7970 directcu 2 сломанная,4 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_7970_directcu_2_slomannaya_1368135751?slocation=653240
 Комплектующие для майнинга от райзера до видеокарт,119 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/komplektuyuschie_dlya_mayninga_ot_rayzera_do_videokart_1718317188
 Amd PowerColor Vega 56,37 999 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/amd_powercolor_vega_56_957296702?slocation=653240
 Видеокарта Gtx 780 3GB asus,7 500 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_780_3gb_asus_1474161859?slocation=653240
 Аксессуары для майнинга,100 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/aksessuary_dlya_mayninga_1479553423
 GTS 450 2048 MB,1 500 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/gts_450_2048_mb_1473493972?slocation=653240
 Видеокарта Sapphire AMD Radeon 7790 HD Series,2 900 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_sapphire_amd_radeon_7790_hd_series_1683860855?slocation=653240
 Sapphire 7790,4 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/sapphire_7790_1399648781
 Bидеокарта для ноута ATI Radeon HD2400XT MXM II,3 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/bideokarta_dlya_nouta_ati_radeon_hd2400xt_mxm_ii_927573443
 Gigabyte 9600 GT GV-NX96T512H,1 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_9600_gt_gv-nx96t512h_1678577570
 Ati radeon 2600 pro,500 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/ati_radeon_2600_pro_1421882557
 Видеокарта от HP Compaq NX7010 и др.запчасти,100 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_ot_hp_compaq_nx7010_i_dr.zapchasti_1486163562
 Видеокарта GTX 550 TI,1 200 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_550_ti_1457277845?slocation=653240
 Nvidia GeForce4 MX440-8 X 64 MB DDR VGA TV-out AGP,300 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/nvidia_geforce4_mx440-8_x_64_mb_ddr_vga_tv-out_agp_782360554
 Майнинг ферма 4 шт - RX 470 /570,115 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_4_sht_-_rx_470_570_1385225215
 Ферма 4 шт - MSI RX 570 4 Gb,115 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/ferma_4_sht_-_msi_rx_570_4_gb_1486965481?slocation=653240
 Майнинг ферма 4 шт. - RX 480 4 gb,115 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_4_sht._-_rx_480_4_gb_1616120599
 Ферма MSI RX 470 4Gb 5 шт,115 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/ferma_msi_rx_470_4gb_5_sht_1722751173
 Комплектующие для компьютера,5 300 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/komplektuyuschie_dlya_kompyutera_1424094921?slocation=653240
 Видеокарта AMD Radeon HD6850 1GB gddr5,2 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_amd_radeon_hd6850_1gb_gddr5_1340286310
 Msi 1070,38 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/msi_1070_1655853021?slocation=653240
 Palit Geforce GTX 1060 Dual 3 Gb,13 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/palit_geforce_gtx_1060_dual_3_gb_1487073455?slocation=653240
 Видео карта Gigabyte Ati Radeon9550 AGP 128mb ddr,500 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/video_karta_gigabyte_ati_radeon9550_agp_128mb_ddr_928376523?slocation=653240
 Видеокарта Radeon 9600Pro Advantage 128 Мб V/D/VO,500 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_radeon_9600pro_advantage_128_mb_vdvo_1265727252?slocation=653240
 Продам ферму из 5 Asus Rog-strix 1080TI OC 11GB,410 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/prodam_fermu_iz_5_asus_rog-strix_1080ti_oc_11gb_1361815433
 Продам видеокарту MSI GeForce GTX 970 4GD5T OC,12 500 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/prodam_videokartu_msi_geforce_gtx_970_4gd5t_oc_1002456860
 Видеокарта ноутбука MXM Nvidia Geforce 570M GTX,8 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_noutbuka_mxm_nvidia_geforce_570m_gtx_559705056
 Riser USB райзеры PCI-E 1x - 16x molex/SATA,550 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/riser_usb_rayzery_pci-e_1x_-_16x_molexsata_948012107
 Видеокарта GeForce GTX9600gt eco 1гб 256bit Zotac,2 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_geforce_gtx9600gt_eco_1gb_256bit_zotac_982507233
 Видеокарта,300 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_1382119177?slocation=653240
 Asus 1060 6g dual oc новая от 07.06.18 ситилинк,22 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_1060_6g_dual_oc_novaya_ot_07.06.18_sitilink_1114773706
 Aorus GTX 1080 Ti Waterforce WB Xtreme Edition 11G,50 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/aorus_gtx_1080_ti_waterforce_wb_xtreme_edition_11g_1521465979
 Видеокарта sapphire hd 7850 2 gb,1 300 р.,06_07_2018,/sankt-peterburg_kolpino/tovary_dlya_kompyutera/videokarta_sapphire_hd_7850_2_gb_1537045187
 Видеокарта GTX1060 3GB Gaming Dual Asus,14 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx1060_3gb_gaming_dual_asus_1659319756
 Видеокарта gigabyte gtx 960 4gb ddr5,10 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gigabyte_gtx_960_4gb_ddr5_1384859026
 MSI GTX 970 Gaming 4G,14 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/msi_gtx_970_gaming_4g_1569607172?slocation=653240
 Видеокарта GTX 650 1 Gb,2 900 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_650_1_gb_1586423570
 Видеокарты radeon hd 5450 и nvidia geforce 8600 gt,500 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarty_radeon_hd_5450_i_nvidia_geforce_8600_gt_1567107505?slocation=653240
 RX 580 ROG-strix-RX580-O8G-gaming,27 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/rx_580_rog-strix-rx580-o8g-gaming_941492404
 Рига/ферма 5x Asus dual1060 6G,120 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/rigaferma_5x_asus_dual1060_6g_1266688575?slocation=653240
 Видеокарта MSI 8870 Ver 10A Nvidia,350 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_msi_8870_ver_10a_nvidia_1364125405?slocation=653240
 GTX 280 1GB 512bit,2 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/gtx_280_1gb_512bit_1671394055?slocation=653240
 Gigabyte GTX 560,2 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_gtx_560_1275590954?slocation=653240
 GTX 560 (1gb),1 000 р.,06_07_2018,/sankt-peterburg_krasnoye_selo/tovary_dlya_kompyutera/gtx_560_1gb_938382799
 Ферма GTX 1060 6gb Asus Strix (2шт) + Palit (3шт),145 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/ferma_gtx_1060_6gb_asus_strix_2sht_palit_3sht_1587086009?slocation=653240
 Майнинг ферма RX 570 Gigabyte 4Gb (2шт),76 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_rx_570_gigabyte_4gb_2sht_1611865114?slocation=653240
 Майниг ферма (риг) GTX1060 Asus Dual 6Gb (6шт),185 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/maynig_ferma_rig_gtx1060_asus_dual_6gb_6sht_1575102554?slocation=653240
 Майнинг ферма GTX 1070 8Gb (6шт),280 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_gtx_1070_8gb_6sht_1309671954?slocation=653240
 Майнинг ферма GTX 1070 Gaming X 8Gb (6шт),278 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_gtx_1070_gaming_x_8gb_6sht_1646683741?slocation=653240
 Майнинг (риг) GTX 1070 Quick Silver OC 8Gb (4шт),195 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_rig_gtx_1070_quick_silver_oc_8gb_4sht_1306844241?slocation=653240
 Майнинг ферма RX480 Gaming X 8Gb (6шт),225 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_rx480_gaming_x_8gb_6sht_1719512756?slocation=653240
 Видеокарта asus GTX1060 6G geforce dual NEW,21 499 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_gtx1060_6g_geforce_dual_new_1494689201?slocation=653240
 Видеокарта nvidia GeForce GTX titan,15 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_nvidia_geforce_gtx_titan_1502190066?slocation=653240
 XFX R9 290 Corsair watercooling,18 900 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/xfx_r9_290_corsair_watercooling_1503640071?slocation=653240
" Видеокарта inno3D GeForce GTX 1060 6GB, новая",21 890 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_inno3d_geforce_gtx_1060_6gb_novaya_1380286138
 Видеокарта Palit GTX 650 TI 1 GB,2 500 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_palit_gtx_650_ti_1_gb_979282013
 Видеокарта Gainward GTX 580,800 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gainward_gtx_580_1319648318?slocation=653240
 Gigabyte Radeon R9 290X WindForce 3X OC,13 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_radeon_r9_290x_windforce_3x_oc_1085758470
 Palit 1070 гарантия,25 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/palit_1070_garantiya_1281849347
 Gigabyte GeForce GTX 1050 TI 4GB G1 gaming,9 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_geforce_gtx_1050_ti_4gb_g1_gaming_1277156437?slocation=653240
" Видеокарта Gigabyte GeForce GTX 1050 Ti 4GB, новая",13 490 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gigabyte_geforce_gtx_1050_ti_4gb_novaya_1279895933
 Видеокарта для ноута ATI Mobility Radeon 9600 PRO,150 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_dlya_nouta_ati_mobility_radeon_9600_pro_1139373722
 Продам Nvidia Gtx 660 Palit,10 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/prodam_nvidia_gtx_660_palit_1638417322?slocation=653240
 Видеокарта Palit gts 450 1gb gddr5,1 900 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_palit_gts_450_1gb_gddr5_1005416193?slocation=653240
 Видеокарта Gainward GTX 650 1GB,2 600 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gainward_gtx_650_1gb_1652789726?slocation=653240
 GeForce GTX 550Ti,3 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/geforce_gtx_550ti_1166448928
 Ферма GTX 1060 с чеками,90 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/ferma_gtx_1060_s_chekami_1719916043?slocation=653240
 Gigabyte nvidia GeForce GTX 560 Ti 448 cores,3 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_nvidia_geforce_gtx_560_ti_448_cores_1432348801
 Видеокарта Asus GeForce 210 Silent 1024 Мб,800 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_geforce_210_silent_1024_mb_1702913647
 Msi gtx 1080 ti sea hawk x 11g,60 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/msi_gtx_1080_ti_sea_hawk_x_11g_1685400595
 HD 5670 пассив,1 200 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/hd_5670_passiv_1547750876?slocation=653240
 Видеокарта asus ROG strix RX580 8Gb,24 799 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_rog_strix_rx580_8gb_1521382735
 Видеокарта Asus Nvidia GeForce GTX 470,3 500 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_nvidia_geforce_gtx_470_1446204238?slocation=653240
 Riser 008s Райзер Премиум качество,500 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/riser_008s_rayzer_premium_kachestvo_1345809095
 Видеокарта,13 000 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_1534062643
 Видеокарта GT 635,2 500 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gt_635_1438113655?slocation=653240
 Видеокарта MXM-II для ноутбуков HD4570 новая,2 300 р.,06_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_mxm-ii_dlya_noutbukov_hd4570_novaya_1521532149?slocation=653240
