 Шлей матрицы DC02001FO10 для Acer,1 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/shley_matritsy_dc02001fo10_dlya_acer_1119235363?slocation=653240
 HD 7970 gigabyte (280x),10 500 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/hd_7970_gigabyte_280x_1385852562
 Asus GeForce GTX 1070 Turbo,28 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_geforce_gtx_1070_turbo_1262088864?slocation=653240
 Видеокарта asus RX 570 4Gb strix gaming,19 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_rx_570_4gb_strix_gaming_1197475276
 Radeon X600 Pro 256 Мб,700 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/radeon_x600_pro_256_mb_1499626445?slocation=653240
 Видеокарта gigabyte r9 390 g1 8gd,14 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gigabyte_r9_390_g1_8gd_1309113762?slocation=653240
 Видеокарта MSI 2gb,3 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_msi_2gb_1606284171?slocation=653240
 SLI мостик,50 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/sli_mostik_923144826
 Майнинг ферма,170 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_1471236361
 Ферма на 2х GeForce Gtx 1080ti strix gaming,120 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/ferma_na_2h_geforce_gtx_1080ti_strix_gaming_1513541226
 Asus geforce gtx 1050ti,10 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_geforce_gtx_1050ti_906298967
 Asus Radeon HD 7870 GHz Edition DirectCU II 2Gb,6 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_radeon_hd_7870_ghz_edition_directcu_ii_2gb_1641481666
 Видеокарта Gigabyte GeForce GT 640,2 996 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gigabyte_geforce_gt_640_1343498826
 Видеокарта asus RX 570 4Gb strix gaming,19 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_rx_570_4gb_strix_gaming_1197475276
 Palit GTX 1070 GameRock,29 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/palit_gtx_1070_gamerock_1460217041
 Видеокарта palit dual nvidia geforce gtx 1060 6gb,18 750 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_palit_dual_nvidia_geforce_gtx_1060_6gb_1442036290?slocation=653240
" Райзеры. Бесплатная доставка по спб за 1,5 часа",289 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/rayzery._besplatnaya_dostavka_po_spb_za_15_chasa_1524679040?slocation=653240
 Gigabyte GTX 1070 Ti,36 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_gtx_1070_ti_1007380310
 MSI Radeon HD 6870 Twin Frozr II,2 800 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/msi_radeon_hd_6870_twin_frozr_ii_1232579397
 Palit NVidia GeForce GTX550Ti Sonic 1024 Mb,3 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/palit_nvidia_geforce_gtx550ti_sonic_1024_mb_1217397880
 GTX 760 4Gb 0C версия,5 500 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/gtx_760_4gb_0c_versiya_1197555478
 R9 380,12 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/r9_380_1063639233
 Gigabyte GeForce GTX 770 GV-N770OC-2GD,8 500 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_geforce_gtx_770_gv-n770oc-2gd_1236124010?slocation=653240
 Radeon X1950 PRO 512/256/gddr3,150 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/radeon_x1950_pro_512256gddr3_942650385
 Комплектующие для пк,10 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/komplektuyuschie_dlya_pk_1285703181
 Gtx 1050 ti,10 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/gtx_1050_ti_1426099913?slocation=653240
 Видеокарта geforce GT 610,1 500 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_geforce_gt_610_981543858
 Palit GeForce FX5200 128mb AGP,200 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/palit_geforce_fx5200_128mb_agp_979144464?slocation=653240
 Видеокарта gtx 1050ti,12 500 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1050ti_1708759476?slocation=653240
 Видеокарта MSI GTX 1050 ti gaming x 4 gb гарантия,11 500 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_msi_gtx_1050_ti_gaming_x_4_gb_garantiya_1716563425?slocation=653240
 Видеокарта 256 mb,500 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_256_mb_1414534156
 Видеокарта Palit GeForce GTS 250 Артефакты,550 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_palit_geforce_gts_250_artefakty_1392455631
 Radeon HD 7870,5 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/radeon_hd_7870_1570437436?slocation=653240
 Райзеры 6pin PCI-E molex,300 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/rayzery_6pin_pci-e_molex_1070108559?slocation=653240
 Видеокарта gtx 980 4gb,18 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_980_4gb_1263752970?slocation=653240
 MSI GeForce GTX 1080 Ti (продажа обмен),48 900 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/msi_geforce_gtx_1080_ti_prodazha_obmen_1135682271?slocation=653240
 Видеокарта msi GT 610 1GB,1 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_msi_gt_610_1gb_1276043710?slocation=653240
 Asus GTX 1070 Strix ROG O8G,33 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_gtx_1070_strix_rog_o8g_1698158351
 Видеокарта asus dual rx 580,18 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_dual_rx_580_1139732181
" Nvidia GT610, GT710 1024Mb pcie",1 499 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/nvidia_gt610_gt710_1024mb_pcie_726008588
 Видеокарта asus gtx 460,2 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_gtx_460_1363815597?slocation=653240
 GeForce GTX 460v2 (GF114 gtx560/ti),2 000 р.,05_19_2018,/sankt-peterburg/tovary_dlya_kompyutera/geforce_gtx_460v2_gf114_gtx560ti_1360408167
