 Msi geforce gtx 1060 aero itx 6gb,22 000 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/msi_geforce_gtx_1060_aero_itx_6gb_1269469829
 Видеокарта asus RX 570 4Gb strix gaming,18 000 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_rx_570_4gb_strix_gaming_1197475276
 Palit 1070 гарантия,25 000 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/palit_1070_garantiya_1281849347
 GTX 1060 KFA2 3 Gb,14 900 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/gtx_1060_kfa2_3_gb_1545995874
 Фермы Риги 1080 TI 1060 3 gb rx470 8 gb,95 000 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/fermy_rigi_1080_ti_1060_3_gb_rx470_8_gb_1596447473
 Видеокарта видеопроцессор nvidia Tesla PNY C2075,29 000 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_videoprotsessor_nvidia_tesla_pny_c2075_805658489
 Palit Gts250 512Mb,900 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/palit_gts250_512mb_1662146735
 Evga GeForce GTX 480 1536MB gddr5,2 300 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/evga_geforce_gtx_480_1536mb_gddr5_1440672490
 Ферма GTX 1060 с чеками,90 000 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/ferma_gtx_1060_s_chekami_1719916043?slocation=653240
 RX 580 8Gb PowerColor RX580 8GBD5-3DH/OC,24 300 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/rx_580_8gb_powercolor_rx580_8gbd5-3dhoc_1249378004
 Gigabyte GTX 660 2Gb OC,4 000 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_gtx_660_2gb_oc_1163914461
 Видеокарта KFA 2 1080 ti 11 гб,52 000 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_kfa_2_1080_ti_11_gb_1452691482
 MSI GTX GEforce 550 TI,4 000 р.,05_24_2018,/sankt-peterburg/tovary_dlya_kompyutera/msi_gtx_geforce_550_ti_1241845858?slocation=653240
