 Antminer Asic s9(13.5th) Февраль нбп,85 000 р.,05_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/antminer_asic_s913.5th_fevral_nbp_986618418
 Майнинг ферма 26 видеокарт,700 000 р.,05_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_26_videokart_1546566681
 Майнинг ферма 13 GPU RX470,400 000 р.,05_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_13_gpu_rx470_1593453847
" Переходники для видеокарт,райзеры,все для майнинга",400 р.,05_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/perehodniki_dlya_videokartrayzeryvse_dlya_mayninga_804708968
 Фермы для майнинга разных конфигураций,70 000 р.,05_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/fermy_dlya_mayninga_raznyh_konfiguratsiy_1037161492?slocation=653240
 Ферма для майнинга Radeon RX 580 х 7 шт. 211 Mh/s,179 000 р.,05_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/ferma_dlya_mayninga_radeon_rx_580_h_7_sht._211_mhs_1512423891
 Asus GTX 1070 / Strix / strix-GTX1070-O8G-gaming,30 000 р.,05_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_gtx_1070_strix_strix-gtx1070-o8g-gaming_1600034040
 Asus GeForce GTX 275 и MSI N275GTX нерабочие,800 р.,05_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_geforce_gtx_275_i_msi_n275gtx_nerabochie_959847892
 RX 550 OC 2GB + 3 года гарантии + полный комплект,6 000 р.,05_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/rx_550_oc_2gb_3_goda_garantii_polnyy_komplekt_1237183278
 Видеокарта Nvidia Gefroce GT 740m 2gb,4 000 р.,05_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_nvidia_gefroce_gt_740m_2gb_530778565?slocation=653240
 16 канальная PCI карта видеозахвата,400 р.,05_07_2018,/sankt-peterburg/tovary_dlya_kompyutera/16_kanalnaya_pci_karta_videozahvata_626532673
